gene_id	product	Chr	Start	End	Strand	Length	batch_1	batch_2	batch_3	chemostat_1	chemostat_2	chemostat_3	batch	chemostat	log2fold
gene_0014	calnexin	NC_001133.9	37464	38972	+	1509	40.89483378136154	45.16660534665628	40.31312273008001	36.57256017241724	43.00544809823235	42.006561620304446	42.124853952699276	40.52818996365135	-0.05574597433650982
gene_0015	Gpb2p	NC_001133.9	39259	41901	+	2643	24.676094130946723	24.918274867498088	26.97117751240005	47.90986932562608	138.4083387069547	128.36423713739546	25.521848836948283	104.8941483899921	2.0391293928881455
gene_0016	ubiquitin-protein transferase activating protein PEX22	NC_001133.9	42177	42719	+	543	19.00450986901537	15.795554527340174	21.5591130045166	46.300546865301456	22.98567053526212	25.00855761580916	18.78639246695738	31.431591672124245	0.742527200181378
gene_0017	acetate--CoA ligase 1	NC_001133.9	42881	45022	-	2142	12.429588261390473	9.93898450263484	9.369026299681884	1444.2547266282604	2916.7085805013794	2709.716293544197	10.579199687902399	2356.8932002246124	7.799511947191186
gene_0018	flavin adenine dinucleotide transporter FLC2	NC_001133.9	45899	48250	+	2352	95.73570327409016	75.40808668507302	70.30429500659724	122.01427090175322	239.9901730079518	253.01626650369423	80.4826949885868	205.00690347113309	1.3489219542529436
gene_0019	oleate-activated transcription factor OAF1	NC_001133.9	48564	51707	+	3144	21.13780236996095	20.168076658800924	18.41789205131285	25.74503504249168	82.30352998109984	81.8639503205003	19.907923693358242	63.30417178136394	1.6689577424326218
gene_0020	protein AIM2	NC_001133.9	51855	52595	-	741	120.88099338061808	100.0400346163323	107.20328169828308	191.9870212271886	166.83147969141862	152.20051861496356	109.37476989841116	170.33967317785695	0.6391344918619226
gene_0021	ERMES complex Ca(2+)-binding regulatory GTPase GEM1	NC_001133.9	52801	54789	-	1989	20.441743843121603	19.63595720775118	18.918226182049956	38.536948564450036	65.00248764273051	62.521394039522896	19.665309077640913	55.35361008223449	1.4930244760440046
gene_0022	gamma-tubulin complex subunit SPC72	NC_001133.9	54989	56857	-	1869	16.011985923348583	16.63540644342066	15.770755646304405	21.325840107672224	36.08503116288462	36.731318998219706	16.13938267102455	31.38073008959218	0.959293431582833
gene_0023	Bol3p	NC_001133.9	57029	57385	-	357	88.4524187903601	84.08809910142857	76.1233386849153	129.68233719774074	41.52250161208641	36.53593964184619	82.88795219223466	69.24692615055778	-0.25941240607561583
gene_0024	Bol1p	NC_001133.9	57518	57850	+	333	65.077605416331	86.00903058025786	69.68213310388401	165.72970961014298	48.195760799743155	57.05077206106465	73.58958970015762	90.3254141569836	0.29563025419235467
gene_0025	glycine decarboxylase subunit H	NC_001133.9	57950	58462	-	513	649.3407586052556	593.5341264059898	668.2964812302325	482.90988289520806	181.90810230056903	197.13777058087064	637.0571220804926	287.3185852588826	-1.1487714236981232
gene_0026	RNA-processing protein PTA1	NC_001133.9	58695	61052	-	2358	36.84892255798575	37.54315075293698	37.67799817958104	44.858773180099135	95.89720610410433	93.19595299016382	37.356690496834595	77.9839774247891	1.06181105041655
gene_0027	Erv46p	NC_001133.9	61316	62563	+	1248	276.67368495029575	283.37140745435914	270.8557914158184	190.15093845413762	188.58136148822578	223.90474240404137	276.9669612734911	200.87901411546827	-0.46338704290018257
gene_0028	Rho family guanine nucleotide exchange factor CDC24	NC_001133.9	62840	65404	+	2565	35.403957098675654	36.54354983505693	38.30479831441577	37.29403056022399	85.76373844877371	88.89760714994662	36.75076841604945	70.65179205298143	0.9429516997713075
gene_0029	cyclin CLN3	NC_001133.9	65778	67520	-	1743	55.06074262050528	56.76515271280358	55.52982379879224	46.26264498612454	75.6302707934431	57.246151417438156	55.785239710700374	59.713022399001936	0.09816211931426186
gene_0030	holocytochrome c synthase CYC3	NC_001133.9	68716	69525	-	810	109.81931995494503	86.7909308582602	95.7484125242258	122.26146663893942	89.22394691644759	108.24016343092401	97.45288777914368	106.57519232877034	0.1290948020452107
gene_0031	pyruvate kinase CDC19	NC_001133.9	71786	73288	+	1503	3910.542443154385	4190.666009880349	4389.696213356653	1753.9231403671438	3414.731442098725	3403.899146739275	4163.634888797129	2857.517909735048	-0.5430810232074434
gene_0032	hypothetical protein	NC_001133.9	73426	73518	-	93	26.630835764839603	18.11575406908657	20.230296707579228	9.890321379960145	0.7414732430729716	1.5630348509880725	21.6589621805018	4.064943158007063	-2.413657098781684
gene_0033	hypothetical protein	NC_001133.9	74020	74823	+	804	19.509405802848914	15.811341662062329	14.300437763856792	19.829848338925068	17.053884590678347	16.021107222627744	16.54039507625601	17.634946717410386	0.09244343509006799
gene_0034	GTP-binding protein RBG1	NC_001133.9	75043	76152	-	1110	121.41621810532614	128.46161626238512	132.01939271843966	85.35080044922363	77.11321727958905	80.49629482588573	127.29907569538364	80.98677085156613	-0.6524637865164643
gene_0035	translation initiation factor eIF5B	NC_001133.9	76427	79435	+	3009	197.19784293297852	226.8648049001617	234.5432516039007	158.54753808034482	450.07425854529373	440.5804486222629	219.53529981234695	349.73408174930046	0.6718054534637184
gene_0036	MIND complex subunit MTW1	NC_001133.9	79718	80587	+	870	22.53672739294616	22.886046676620335	23.3074721071612	28.19310002563352	22.491355039880137	24.813178259435652	22.91008205890923	25.1658777749831	0.13548623025199424
gene_0037	Fun19p	NC_001133.9	80710	81951	-	1242	22.932108575278548	20.84067535527987	21.37592005843785	87.38839518815027	118.88287663936644	110.1939569946591	21.716234662998755	105.48840960739194	2.280238543326315
gene_0038	RNA-binding protein POP5	NC_001133.9	82706	83227	+	522	69.9824692728328	74.52635712643033	67.67977295722068	35.82873128257593	19.278304319897263	24.031660833941615	70.72953311882793	26.379565478804935	-1.4228919577163326
gene_0039	mRNA splicing protein PRP45	NC_001133.9	83335	84474	-	1140	22.087241417241966	22.70536736075228	24.388746586359403	55.67209850456514	55.116177735090886	53.14318493359446	23.060451788117884	54.643820391083494	1.2446375120004758
gene_0040	protein phosphatase regulator GIP4	NC_001133.9	84749	87031	-	2283	25.222306015122392	20.260385807524603	21.884401855227697	27.26228315553622	56.10480872585485	51.18939136985937	22.455697892624897	44.852161083750154	0.998095875231001
gene_0041	SNAP receptor SNC1	NC_001133.9;NC_001133.9	87286;87501	87387;87752	+;+	354	96.1982520742617	87.8293069004328	75.58739862116231	212.19488949377768	73.4058510642242	80.88705353863276	86.53831919861894	122.16259803221153	0.497391627481947
gene_0042	myosin 4	NC_001133.9	87855	92270	-	4416	44.960642220281166	46.128491864404594	47.38574404686677	24.716844825461997	106.77214700250791	105.5048524416949	46.15829271051751	78.99794808988827	0.7752252866557117
gene_0043	Frt2p	NC_001133.9	92900	94486	+	1587	7.152737079245672	7.1416978577907875	5.400694626198949	15.455574683239547	19.278304319897263	22.46862598295354	6.565043187745136	19.067501662030114	1.5382391988117827
gene_0044	DNA-binding protein SAW1	NC_001133.9	94687	95472	+	786	32.822674487517006	29.813678539097015	31.649518470848083	73.72441853077163	53.386073501253954	56.46463399194412	31.428623832487364	61.19170867465656	0.9612570365192957
gene_0045	aminophospholipid-translocating P4-type ATPase DRS2	NC_001133.9	95630	99697	-	4068	32.47024223048289	34.63806020718349	32.63138239009317	25.625365620644036	103.55909628252503	110.38933635103263	33.246561609253185	79.85793275140057	1.2642305391754889
gene_0047	ribosome biosynthesis protein MAK16	NC_001133.9	100225	101145	-	921	194.5120870684864	192.0742003090449	207.91151115035098	107.52637131111936	103.55909628252503	101.4018859578512	198.16593284262743	104.16245118383188	-0.9278736701538258
gene_0048	mitotic regulator LTE1	NC_001133.9	101565	105872	-	4308	12.072892815397338	12.692267047517161	10.966686686265867	10.675486169177038	47.948603052052164	49.82173587524481	11.910615516393456	36.148608365491334	1.6016920161532928
gene_0049	dolichyl-phosphate-mannose-protein mannosyltransferase PMT2	NC_001133.9	106272	108551	-	2280	242.05444077747958	244.45216516502234	242.51216060496478	116.05077538512009	220.71186868805455	224.10012176041488	243.0062555158222	186.95425527786315	-0.37830814954668085
gene_0050	nucleoside transmembrane transporter FUN26	NC_001133.9	108877	110430	-	1554	47.28087250655885	49.37798814443374	47.08252236748919	47.351345602897986	56.599124221236835	55.292357853703066	47.913794339493926	53.08094255927929	0.14775289238463568
gene_0051	CCR4-NOT core exoribonuclease subunit CCR4	NC_001133.9	110846	113359	-	2514	48.02607464154397	49.713182353180066	51.47164724499308	54.75870456947703	113.93972168554663	106.48174922356243	49.7369680799057	91.7267251595287	0.8830235394885436
gene_0052	Ats1p	NC_001133.9	113614	114615	-	1002	49.02253150523617	51.512053010274194	43.6034904751849	47.12214996799375	37.07366215364858	41.0296648384369	48.04602499689842	41.74182565335974	-0.20292340641085257
gene_0053	DNA-dependent ATPase FUN30	NC_001133.9	114919	118314	+	3396	39.7462871242902	46.72386425335562	48.814427165530056	27.08480236561524	88.48247367337461	101.01112724510418	45.09485951439196	72.19280109469801	0.678891963832446
gene_0054	Lds1p	NC_001133.9	118564	119541	-	978	1.4772217180394154	0.31321158736290217	1.0687443727589572	2.8214720501113297	4.201681710746839	6.642898116699308	0.9530592260537581	4.555350625852491	2.2569228133762365
gene_0055	serine/threonine protein kinase PSK1	NC_001133.9	120225	124295	+	4071	23.42218311373328	24.003040395149334	24.95616557736745	44.81134312290958	199.20914463893837	191.6671486024124	24.127129695416688	145.22921212142012	2.589603414109912
gene_0056	protein phosphatase 2A structural subunit TPD3	NC_001133.9	124879	126786	+	1908	94.21635174088497	86.29323961582475	94.99120975010604	158.12073552112383	311.41876209064804	307.9178656446503	91.83360036893858	259.1524544188074	1.496707028584468
gene_0057	bifunctional N-glycosylase/AP lyase NTG1	NC_001133.9	126903	128102	-	1200	40.24585054961385	35.22690723070561	36.5831198795391	51.610993734425364	61.04796367967466	60.76297983216132	37.35195921995285	57.80731241542045	0.6300680427458923
gene_0058	syntaxin	NC_001133.9	128252	129019	-	768	76.58965949946545	61.22430095010543	64.51041228758011	66.27030445478503	45.97134107052424	45.132631322280595	67.44145757905034	52.458092282529954	-0.36247039548645865
gene_0059	Rpd3L histone deacetylase complex subunit DEP1	NC_001133.9	129270	130487	+	1218	63.543404303419614	59.10132932973383	64.189945273036	80.80343846632464	91.69552439335749	93.78209105928435	62.27822630206314	88.76035130632216	0.511187497729927
gene_0060	cystathionine gamma-lyase CYS3	NC_001133.9	130799	131983	+	1185	501.2552542758354	488.4332505038947	510.0026501350092	190.94579960399003	222.1948151742005	265.1297865988518	499.89705163824647	226.09013379234747	-1.1447329844212017
gene_0061	Swc3p	NC_001133.9	132199	134076	+	1878	24.177622459558854	26.668515683754073	23.709735385187372	34.77411718417297	56.84628196892782	61.739876614028866	24.851957842833432	51.12009192237655	1.0405308603350607
gene_0062	Mdm10p	NC_001133.9	134184	135665	-	1482	19.496934416228722	22.426330074115818	19.889029894023572	37.445744441940874	46.46565656590622	49.626356518871305	20.604098128122704	44.51258584223947	1.1112819266967158
gene_0063	Nem1-Spo7 phosphatase regulatory subunit SPO7	NC_001133.9	135854	136633	+	780	59.535281878127	46.92993772652532	43.68533729205035	72.71922194111723	49.431549538198105	45.52339003502761	50.05018563223422	55.89138717144764	0.1592505330340098
gene_0064	Fun14p	NC_001133.9	136914	137510	+	597	57.04217962192402	46.692135430692744	41.31905380029303	173.58590857491188	105.04204276867098	113.71078540938227	48.35112295096993	130.77957891765504	1.4355159517155205
gene_0065	Erp2p	NC_001133.9	137698	138345	-	648	249.70518226414416	242.03135402739227	231.62857207679963	131.06202112610765	69.94564259655031	70.14118893808975	241.12170278944532	90.3829508869159	-1.4156389512829752
gene_0067	Hsp70 family ATPase SSA1	NC_001133.9	139503	141431	-	1929	311.2418530893559	267.01847998932305	259.9804623891411	1843.8912224968622	4344.786046659922	4134.227180863451	279.4135984892734	3440.9681500067454	3.622340392633448
gene_0068	translation elongation factor 1 subunit beta	NC_001133.9;NC_001133.9	142174;142620	142253;143160	+;+	621	2248.3436885762226	2313.4382820417186	2534.8138274021576	1389.3273675675416	805.9814152203202	845.2110956718002	2365.5319326733666	1013.5066261532206	-1.222809115791601
gene_0070	CORVET complex membrane-binding subunit VPS8	NC_001133.9	143707	147531	+	3825	17.644234127331963	17.338165195675508	16.45044867785811	23.405801080104375	89.96542015952055	85.18539937884995	17.144282666955192	66.1855402061583	1.948788434707509
gene_0071	transcription factor TFIIIC subunit TFC3	NC_001133.9;NC_001133.9	147594;151097	151006;151166	-;-	3483	33.30192511448719	34.123606599792225	32.710389786060965	41.020839119984	147.30601762383034	140.67313658892652	33.378640500113455	109.66666444424696	1.71612791021521
gene_0072	FG-nucleoporin NUP60	NC_001133.9	152257	153876	+	1620	70.83473537697151	67.69314432953628	70.19829705280166	49.01814219734569	80.82058349495391	69.75043022534274	69.57539225310315	66.52971863921411	-0.06457822552908124
gene_0073	Erp1p	NC_001133.9	154065	154724	-	660	355.55191977397783	352.2690723070561	330.67339527479504	255.9645143804534	147.80033311921233	161.18796900814496	346.1647957852763	188.31760550260356	-0.8782911359124067
gene_0074	COMPASS subunit protein SWD1	NC_001133.9	155005	156285	+	1281	55.4237378212821	50.9339255346726	52.22080232609574	40.20983118410027	46.46565656590622	52.16628815172692	52.85948856068348	46.28059196724447	-0.1917551757845885
gene_0075	replication factor A subunit protein RFA1	NC_001133.9	156754	158619	-	1866	72.11447648431646	68.70059497670114	77.63620295979361	97.43503640289784	173.25758113138437	176.4275588052787	72.81709147360374	149.04005877985364	1.0333511069532797
gene_0076	tRNA splicing endonuclease subunit SEN34	NC_001133.9	158966	159793	+	828	55.33617504034605	54.198087684292915	48.97947037012136	55.54347151789212	41.7696593597774	39.85738870019585	52.83791103158677	45.72350652595512	-0.2086374097083414
gene_0077	truncated gag-pol fusion protein	NC_001133.9	160597	164187	-	3591	2.413906165818794	2.5590721173009054	3.143554876866948	2.5614031978175813	6.178943692274763	2.1491729201085996	2.7055110533288826	3.6298399367336476	0.424004263123522
gene_0078	gag protein	NC_001133.9	164544	165866	-	1323	0.15600073860733704	0.0	0.0	0.0	0.49431549538198105	0.19537935637350906	0.05200024620244568	0.22989828391849673	2.1443775943015235
gene_0080	protein phosphatase regulator BUD14	NC_001133.9	166742	168871	-	2130	78.38905283408596	83.48324003847564	83.42227202577662	79.88872269587526	163.86558671912672	148.29293148749338	81.76485496611275	130.6824136341651	0.6765122212071157
gene_0081	phosphoribosylaminoimidazolesuccinocarboxamide synthase	NC_001133.9	169375	170295	+	921	587.3458297309941	631.1009438725762	648.4750953674156	278.63644825822576	208.10682355581403	196.74701186812362	622.3072896569953	227.83009456072114	-1.4496688199717132
gene_0082	serine/threonine protein kinase KIN3	NC_001133.9	170396	171703	-	1308	25.404147802430135	26.112220158381035	27.32946046046827	32.8165097775436	29.164614227536884	30.088420881520396	26.281942807093145	30.689848295533626	0.22368953333556366
gene_0083	serine/threonine protein kinase CDC15	NC_001133.9	172211	175135	-	2925	9.949007104966999	12.043387087420722	10.077108479638609	12.683280511531798	42.511132602850374	42.98345840217199	10.689834224008777	32.72595717218472	1.6141957737406247
gene_0084	seripauperin PAU7	NC_001133.9	176856	177023	-	168	27.027127963721142	16.410049952192054	13.687561859691503	74.82499091624611	15.570938104532404	12.113520095157561	19.041579925201564	34.16981637197869	0.8435692315504422
gene_0085	DUP240 family protein	NC_001133.9	179281	179820	-	540	16.81687962187093	15.316046622045919	17.033410314282758	22.143330645132995	13.346518375313488	9.768967818675453	16.3887788527332	15.08627227970731	-0.11947208027317432
gene_0088	DUP240 family protein UIP3	NC_001133.9	183770	184477	+	708	85.70389730252406	73.76796466267878	69.09160655215618	134.67879720931603	91.94268214104848	89.09298650632013	76.18782283911968	105.23815528556155	0.4660255118214693
gene_0089	DUP240 family protein	NC_001133.9	184892	185596	+	705	33.95903737956142	27.373359920252277	31.7276095409174	12.611913362530741	5.931785944583773	8.596691680434398	31.0200022802437	9.046796995849638	-1.7777198351197492
gene_0090	DUP240 family protein	NC_001133.9	186321	186545	+	225	19.262971203233977	19.059969129657144	17.65280705298395	5.4506660049558135	0.9886309907639621	1.9537935637350905	18.658582461958357	2.797696853151622	-2.737527910988598
gene_0091	pheromone-regulated DUP240 family protein PRM9	NC_001133.9	186836	187732	+	897	7.132729423079949	5.634665981354685	7.457619596402301	9.228761421434383	8.65052116918467	6.447518760325799	6.741671666945645	8.108933783648284	0.26640565094659363
gene_0092	DUP240 family protein MST28	NC_001133.9	188107	188811	+	705	16.68676836754311	22.376635490364958	15.715544912790861	16.52595544055752	13.84083387069547	10.941243956916507	18.25964959023298	13.769344422723165	-0.40719928629117347
gene_0093	carnitine O-acetyltransferase YAT1	NC_001133.9	190193	192256	+	2064	17.299076090944133	17.957767841739884	18.939765829108005	183.45491958903787	291.39898452767784	268.45123565720144	18.06553658726401	247.76837992463905	3.7776799915327923
gene_0094	hypothetical protein	NC_001133.9	192337	192417	-	81	0.0	0.0	5.161639489176593	18.9259236283188	0.49431549538198105	0.5861380691205271	1.7205464963921975	6.668792397607103	1.9545578192740392
gene_0095	oxysterol-binding protein related protein SWH1	NC_001133.9	192619	196185	+	3567	29.971822309489365	35.166364405538566	32.99498817282313	38.42169424225055	134.94813023928083	133.05334169035967	32.71105829595035	102.14105539063036	1.642712486454906
gene_0096	flocculin FLO1	NC_001133.9	203403	208016	+	4614	1.2971998999019725	1.1950101395614499	0.9967535294443748	1.9934978074041902	9.39199441225764	9.573588462301943	1.162987856302599	6.986360227321259	2.586703759143179
gene_0098	hypothetical protein	NC_001133.9	220198	220497	+	300	1.3759265145167126	2.042139549606122	2.0904639931165203	3.065999627787645	0.49431549538198105	0.7815174254940362	1.8361766857464517	1.4472775162212208	-0.34336408826342396
gene_0099	hypothetical protein	NC_001133.9	221049	221660	+	612	2.697895126503358	3.003146396479592	2.732632670740549	15.029409940135514	6.426101439965754	6.25213940395229	2.811224731241166	9.235883594684518	1.7160506885315532
gene_0100	hypothetical protein	NC_001133.9	222406	222891	+	486	2.9726807412398113	8.193769797802343	12.043825474745384	20.187651870206718	9.886309907639621	12.50427880790458	7.736758671262513	14.192746861916973	0.8753524704947788
gene_0101	acid phosphatase PHO11	NC_001133.9	225460	226863	+	1404	7.350034799768764	7.199850976175431	6.104631318930009	7.861537507147808	11.863571889167545	9.768967818675453	6.884839031624733	9.831359071663602	0.5139677323370619
gene_0102	hypothetical protein	NC_001134.8	280	2658	-	2379	35.82961226326623	31.93257303293306	33.5669291874952	54.38637422977664	119.37719213474843	131.09954812662457	33.776371494564835	101.62103816371655	1.5891128085295547
gene_0103	hypothetical protein	NC_001134.8	2582	2899	-	318	0.64902194080977	0.9632733724557181	1.3147572283751698	0.9641508263483161	0.0	0.3907587127470181	0.9756841805468861	0.4516365130317781	-1.1112535886533885
gene_0104	hypothetical protein	NC_001134.8;NC_001134.8	2907;4216	4116;5009	-;-	2004	3.29563237009991	2.3692487289591986	2.6078642628699105	4.436825808674737	5.684628196892782	8.792071036807908	2.757581787309673	6.3045083474584755	1.1929796687892993
gene_0105	seripauperin PAU9	NC_001134.8	7605	7733	-	129	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-inf
gene_0107	Mix23p	NC_001134.8	9961	10551	-	591	120.13165507455562	112.21401332226534	114.60411738912902	136.958359007773	83.78647646724579	72.68112057094537	115.64992859531667	97.80865201532139	-0.2417303929967458
gene_0108	putative Rab GTPase-binding protein SRO77	NC_001134.8	10847	13879	-	3033	17.011949981660642	15.60388528259871	16.19713281841023	28.203557406948665	72.66437782115122	75.221052203801	16.27098936088986	58.696329143966956	1.8509682145971946
gene_0109	protein kinase C	NC_001134.8	14241	17696	-	3456	39.83259484299685	42.72184300825308	41.85767023254143	64.67342964864564	202.66935310661225	189.12721696955677	41.47070269459712	152.1566665749382	1.875393112415357
gene_0110	Sea4p	NC_001134.8	18177	21293	-	3117	22.24789744358111	22.99618164619021	25.351151408342787	26.656589641657103	80.32626799957193	76.78408705478905	23.53174349937137	61.255648232006024	1.3802346004959754
gene_0111	Rtg3p	NC_001134.8	22076	23536	-	1461	43.368525662898435	42.666878680168985	42.49608528101345	61.48787754563861	86.25805394415569	87.33457229895855	42.843829874693625	78.36016792958429	0.8710330051574384
gene_0112	Sft2p	NC_001134.8	24098	24745	+	648	124.21558811609212	137.08807161707765	130.97660203785603	177.9036821061967	107.26646249788989	108.63092214367104	130.7600872570086	131.26702224925256	0.005582262596568928
gene_0113	Ecm21p	NC_001134.8	24946	28299	-	3354	28.798461931745152	30.09324604629773	30.22883233934145	57.041853540235266	211.3198742757969	182.09356014011044	29.706846772461443	150.15176265204752	2.337553978599285
gene_0114	hypothetical protein	NC_001134.8	28427	28546	+	120	22.358805860896577	31.90843046259566	12.194373293179702	38.324995347345556	4.201681710746839	3.516828414723163	22.153869872223982	15.347835157605187	-0.5295236231473713
gene_0115	gag-pol fusion protein	NC_001134.8	29935	35248	+	5314	5.2043889615705545	5.4473707406222776	4.563301151703357	7.558260279265741	23.974301526026082	27.15773053591776	5.071686951298729	19.563430780403195	1.94762150581375
gene_0116	gag protein	NC_001134.8	29935	31251	+	1317	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-inf
gene_0118	F1F0 ATP synthase subunit alpha	NC_001134.8	37053	38690	+	1638	532.6045216906726	469.57989093964954	480.24517741742767	1126.2588376311514	1729.1156028461698	1676.7456363974547	494.14319668258327	1510.7066922915922	1.6122224987349594
gene_0119	kynurenine 3-monooxygenase	NC_001134.8	39145	40527	+	1383	194.89805075475346	160.35889738772588	155.08431358912145	98.43122449296561	118.14140339629347	108.82630150004455	170.1137539105336	108.46630979643454	-0.6492527942860415
gene_0120	condensin subunit BRN1	NC_001134.8	40831	43095	+	2265	23.326966073925725	22.923354546903163	21.043081255212655	17.461984635081954	34.107769181356694	38.29435384920777	22.431133958680515	29.954702555215476	0.4172798888828839
gene_0121	Mrx3p	NC_001134.8	43277	44089	+	813	88.34362122727234	76.67442773890146	78.16741130472596	86.737996850081	65.2496453904215	60.567600475787806	81.06182009029992	70.85174757209677	-0.19421914860716086
gene_0122	Rox3p	NC_001134.8	44256	44918	-	663	74.71094196470838	63.29708558733909	69.36682933418317	100.3502140618279	63.272383408893575	78.93325997489767	69.12495229541021	80.85195248187306	0.22607601296513
gene_0123	ribosomal 60S subunit protein L32	NC_001134.8	45978	46370	+	393	4870.359731155722	4935.430392406858	4816.577979050914	2061.1631085534245	767.1776488328346	813.3642605829182	4874.122700871165	1213.9016726563925	-2.0054910036591744
gene_0124	phospholipid metabolism-regulating protein SCS22	NC_001134.8;NC_001134.8	46565;47147	47058;47180	-;-	528	30.09839250505309	28.717587416336094	25.338957492321455	42.970449328841994	22.491355039880137	20.12407370647143	28.051645804570214	28.528626025064522	0.024324798152067093
gene_0125	methionine aminopeptidase	NC_001134.8	47363	48628	-	1266	132.5388929267876	144.5708982096751	142.8318605091461	111.8871902083643	136.43107672542678	131.88106555211863	139.98055054853629	126.73311082863658	-0.14343289930993336
gene_0126	mitochondrial 37S ribosomal protein MRP21	NC_001134.8	48825	49358	+	534	158.8499431085306	131.36234743252865	128.79450444481932	145.2617801180289	74.14732430729715	78.54250126215064	139.66893166195953	99.31720189582556	-0.49189562818299737
gene_0127	amino acid transporter	NC_001134.8	49574	50953	+	1380	28.415873669366892	28.079418807084185	30.296579610384352	25.77217078430195	31.141876209064808	27.743868605038287	28.930624028945143	28.219305199468348	-0.03591502506011031
gene_0128	DNA-binding protein kinase TEL1	NC_001134.8	51019	59382	-	8364	11.770390018372883	11.609724483951592	11.42207131580882	14.882781550475656	135.9367612300448	131.09954812662457	11.600728606044433	93.97303030238167	3.0180312275512313
gene_0129	ribosomal 60S subunit protein L23A	NC_001134.8;NC_001134.8	59822;60698	60193;60739	-;-	414	1521.9940756592478	1578.5886699582109	1535.0267002594737	528.0332692300944	191.54725446051765	229.37536438249964	1545.203148625644	316.3186293577039	-2.28834609341158
gene_0130	hypothetical protein	NC_001134.8	61202	62602	-	1401	30.052356419851115	25.25343875583588	27.45505886748321	33.045392133899675	53.386073501253954	59.98146240666728	27.586951347723403	48.80430934727364	0.8230224566083509
gene_0131	Boi1p	NC_001134.8	63876	66818	+	2943	51.684905259878555	53.447434185664825	51.21388172059161	39.90070871364826	98.12162583332324	104.33257630345383	52.115407055378334	80.7849702834751	0.6323769382777444
gene_0132	anaphase promoting complex subunit CDC27	NC_001134.8	67169	69445	-	2277	19.48776025171892	20.91915019524058	22.49291516528535	31.238994890062965	79.58479475649895	63.693670177763956	20.966608537414952	58.17248660810862	1.4722433887353765
gene_0133	dolichyl-P-Man:Man(5)GlcNAc(2)-PP-dolichol alpha-1,3-mannosyltransferase	NC_001134.8	69751	71127	-	1377	56.80568071915405	59.618017352335606	62.546925574728135	43.64095330765275	60.30649043660169	60.567600475787806	59.65687454873927	54.83834807334742	-0.12150330772450627
gene_0134	hypothetical protein	NC_001134.8	71866	72972	+	1107	51.084534549807486	52.298695782595814	51.74228853784341	29.91219149061117	27.92882548908193	24.031660833941615	51.708506290082234	27.290892604544904	-0.9219820763362013
gene_0135	glutamyl-tRNA(Gln) amidotransferase subunit PET112	NC_001134.8	73070	74695	-	1626	27.670846878657137	22.889294767264197	23.655927105377597	32.432468387421586	52.89175800587197	47.86794231150972	24.738689583766313	44.39738956826776	0.8437057123384706
